contactperson,country,sale_lead_id,company_email,company_phone,department,sale_at,other_info
Karl Dahl,DK,,nilssonchristoffer@example.com,68146965,MCC,2025-01-01 08:07:26,
Maiken James Olesen,DK,,lauramarshall@example.com,+56214750,MCC,2025-04-23 04:46:18,
O. Schmiedt,DE,,lianeditschlerin@example.com,3267184616,TELE,2025-01-03 22:27:01,
kirstin cecilie hansen,DK,,Jonathandahl@example.net,47848944,MCC,2024-10-18 08:38:47,
Jan Kjeldsn,DK,,whitetracey@example.com,+4507015014,MCC,2025-05-09 16:29:22,"51621707, schoulena@examplenet"
Johanne Koch,DK,,mille93@example.com,+4595366374,MCC,2025-04-12 07:54:59,
Abelone Bjarne Carlsen,DK,,bente19@example.com,79071498,MCC,2025-04-15 07:29:24,
Julie Ragnar Svenddsen,DK,,moorelaurie@example.org,17540838,MCC,2024-10-21 13:54:02,ajessen@example.com
David Smith,DK,,clara37@example.net,+44335550,TELE,2025-01-18 19:30:30,
Peter Mikkelsen,DK,,julian73@example.org,+4578627119,MCC,2025-05-02 17:45:30,
Valdemar Laursen,DK,,ianvasquez@example.org,93208914,TELE,2025-02-28 08:31:59,
Hans-Walter Ann Christoph,DE,,hernandezemily@example.net,+495170266658,MCC,2025-03-15 07:28:58,saban97@example.com
Bianka Hans-Walter Haering,DE,,hermighausenyvonne@example.net,96926793,MCC,2025-04-02 07:26:24,+495040175073
heidi mogens thomsen,DK,FB25010622_mei3UW4gh6QzhGZ5,rikkeandresen@example.com,+4591069403,TELE,2024-11-10 21:14:53,+4594846862
Vinzenz Bonbach,DE,,brunibudig@example.net,+491127459773,TELE,2025-01-15 18:38:28,+491127459773
Emma Taylor,DE,,jessicasherman@example.net,+492496628309,MCC,2025-04-22 18:26:13,misichersilvester@example.net
oscar lind,DK,,joshuayoung@example.org,+4537282196,MCC,2025-04-12 15:48:36,
jörg-peter gordana müller,DE,FB25011603_d0uRhdbDFTRZVzJ2,ellyjessel@example.org,4235879535,MCC,2025-03-25 02:20:08,
Karin Iben Møller,DK,,heathertanner@example.net,+4552403997,MCC,2025-02-26 02:01:47,andersengrethe@example.net
Hannah Ann Carlsen,DK,,floydmason@example.org,66429768,TELE,2025-04-03 07:12:59,lsondergaard@example.com
Ludger Dussen van,DE,,lena43@example...net,+497763510069,MCC,2024-12-04 10:54:08,
francisco friedhilde stumpf,DE,,Thies85@example.com,+1031718524,MCC,2025-06-19 07:06:49,+1031718524
Christina Brun,DK,,hsalinas@example.com,+4519913132,TELE,2025-04-09 15:30:19,jacquelinetoft@example.com
Caroline Lind,DK,,aschultz@example.net,76272525,MCC,2025-04-18 07:46:27,
Beata Dehmel,DE,,sylwia63@exampleorg,+4940213241,MCC,2025-01-12 17:23:12,
Hjalte Sørensen,DK,,vpaulsen@example.com,+4568777697,TELE,2025-03-09 10:49:05,+22627082
Sonja Kjeldsen,DK,,Magnus99@example.com,+4591826051,MCC,2025-04-13 13:28:25,
E. Gieß,DE,,bernward19@example.com,8963694467,MCC,2025-03-06 09:49:49,
Dorte Scchou,DK,,mogensenemil@exampleorg,+4508244065,MCC,2025-05-11 16:57:16,
malthe toft,DK,,johannesjohnsen@example.org,95936071,MCC,2025-03-22 08:54:38,
Nick Boris Sørensen,DK,,lwise@example.org,+45(+45)08315532,TELE,2025-03-19 16:48:17,vkrogh@example.org
Katrine Raavn,DK,,grahamandrea@example.net,75003617,TELE,2025-04-16 19:13:38,mikkel08@example.org
Sibylla Lindau,DE,,Kraushaarkarla@example.org,+4962508904,MCC,2025-03-09 10:58:14,
Marliese Renner,DE,FB25010411_RWydbXKOsCV5RhnE,ehlertanselm@example.net,+4978205146,MCC,2025-04-29 10:23:30,
Mille Dahl,DK,,dahlpaul@example.org,94444110,TELE,2025-02-18 06:55:53,
karen skov,DK,,ohermansen@example.net,18812195,TELE,2025-04-27 09:12:06,
filippa adam ravn,DK,,natasja15@example.net,+4564321101,MCC,2025-04-05 17:00:22,
L. Laursen,DK,,Grethe00@example.org,(+45)46299417,MCC,2025-01-29 20:07:03,
Marlene Jonathan Lauritsen,DK,,qberg@example.com,+4567386591,MCC,2025-04-07 22:35:05,qberg@example.com
John Smith,DK,,jespersengunhild@example.net,+4540461106,MCC,2025-03-02 07:45:54,
Sarah Taylor,DK,,janopaulsen@example.net,+4531234120,MCC,2025-03-04 23:23:52,+4511899217
Ragner Nissen,DK,,bergershawn@example.com,+4586651943,TELE,2025-02-24 16:32:27,
mille freddy jakobsen,DK,,ritt40@example.com,+46836827,MCC,2025-04-01 11:29:22,
David Jones,DK,,rasmus76@example.org,+4578955587,MCC,2025-03-18 08:49:39,
Priska Weimer,DE,,hans-juergenseidel@example.org,+498584413300,MCC,2025-03-30 18:15:12,
Heidrun Henck,DE,,cpatel@example.net,11943590,MCC,2025-02-07 15:24:48,
Marius Tanja Frederiksen,DK,,jkjaer@example.net,54714572,MCC,2025-05-30 06:05:02,
Frans Petesen,DK,,jessica01@example.net,+4544259845,MCC,2024-11-25 23:09:54,+4544259845
H. Seifert,DE,,annamariafreudenberger@example.org,1515537591,MCC,2024-11-03 11:15:06,
Kåre Cirkeline Paulsen,DK,,nwarren@example.net,+4573470510,MCC,2025-04-06 15:46:53,
Silvester Marie Schinke,DE,,zwright@example.com,+496064818536,TELE,2025-05-07 11:15:06,"+496064818536, Doerschnerernst-otto@example.org"
F. Stoll,DE,,ernst-august38@example...com,3291054482,MCC,2025-04-16 19:16:14,
Vagn Britta Friis,DK,,vagbach@example.com,69760777,MCC,2025-03-15 10:54:28,69760777
Kaspar Andersen,DK,FB25011202_6YCfg3CCl08t2bfo,winniemathiasen@example.org,+4594844505,MCC,2025-03-16 01:39:09,
Margrethe Vestergaard,DK,,Ernstlind@example.com,+4514593127,MCC,2025-04-03 21:46:47,
Gustav Hein,DE,FB25031308_YkE2gXj5IaKDlxHO,muehleveli@example.com,5575294586,MCC,2025-03-24 07:10:12,
Amalie Lindner,DE,,Schaefermaike@examplecom,6188019454,MCC,2024-12-15 07:10:12,
David Smith,DK,,solvejlaursen@example.net,02917655,MCC,2025-02-06 14:01:54,
Anke Kühnert,DE,,flantzpaul@example.com,54209920,TELE,2025-02-08 17:06:04,+494689941781
Kirstine Xenia Kalsen,DK,,kjensen@example.com,10549514,MCC,2025-04-19 21:52:16,
David Smith,DE,,Tuerkanackermann@example.com,+499774428746,MCC,2025-05-25 19:16:14,
Christina Marie Schmidt,DE,,elinke@example.com,5892263704,MCC,2025-03-29 17:45:59,
Damaris Oestrovsky,DE,,coxvanessa@example.net,+4972939433,MCC,2025-01-30 17:25:39,"42491534, isidor86@examplecom"
Gurli Laursen,DK,,marcus35@example.com,+39880725,TELE,2025-03-10 23:23:52,
Sam Sørensen,DK,,tejssorensen@example.net,+4576186625,MCC,2024-12-10 22:43:50,
Mark Jones,DE,FB25020419_R2RKerh8JoCHRzSn,marvinkelley@example.net,+8165675741,TELE,2025-03-19 18:09:28,
Jesper Iversen,DK,,ron90@example.net,+4585897382,MCC,2025-03-12 13:18:03,+4585897382
Hansgeorg Hänel,DE,,Oaumann@example.net,+497721598525,TELE,2025-04-09 11:46:26,
Inka Döhn,DE,,alexsteckel@example.net,+494187493525,MCC,2025-02-15 14:36:53,
Catherine Kensy,DE,FB25030712_VM1O6pbpZ3xpWadc,Bendersahin@example.net,8414377772,MCC,2025-03-20 14:20:40,
Edith Mathiasen,DK,,anthony02@example.com,98828042,MCC,2025-04-27 16:59:35,ukjaer@example.com
I. Faust,DE,,agnesroht@example.org,+492310269201,MCC,2025-03-13 18:02:24,
David Taylor,DK,,ichristoffersen@example.org,+03456192,MCC,2025-05-22 16:32:27,
P. Stroh,DE,,steffenpaertzelt@example.org,7950468982,MCC,2025-04-16 00:06:06,steffenpaertzelt@example.org
Ritt Madsen,DK,,hudsoncameron@example.com,67898896,MCC,2025-02-25 14:44:13,Lravn@example.com
John Wilson,DK,,tildeschultz@example.com,34654464,MCC,2024-10-08 20:08:02,
W. Seip,DE,FB25030510_QcH8oqBGTganTy9Y,gabriele39@example.com,+4954821978,TELE,2025-05-08 09:04:40,9129930466
micha bolander,DE,,oking@example.com,4897173665,MCC,2025-06-25 11:12:54,
Bianca Hermighausen,DE,,Irmhild97@example.com,+492856448120,MCC,2025-04-23 21:30:49,
harold jähn,DE,,rollinsbrian@example.net,(+49)8453958201,TELE,2025-02-10 18:04:02,
Gunnar Rasmussen,DK,,derek08@example.com,+4510748046,MCC,2025-01-26 16:37:45,"00358367, postergaard@example.org"
Caroline Nørgaard,DK,,christopher97@example.com,39534349,TELE,2025-03-26 16:33:55,
Monika Hermann,DE,,lweller@example.com,5786591681,MCC,2025-04-23 12:51:42,
Andree Galina Grein Groth,DE,,bettina09@example.com,+4960569857,TELE,2025-04-23 07:18:48,+499528516454
P. Drub,DE,,yasemin72@example.net,+498102413518,MCC,2025-02-12 20:43:38,yasemin72@example.net
Richardt Lind,DK,,Eolesen@example.com,18212651,MCC,2025-02-15 04:07:17,20225251
H. Mortensen,DK,,morganclark@example.net,+89227394,MCC,2025-05-23 20:31:44,stine74@example.net
Danny Ann Henriksen,DK,,llauritsen@example.com,+4543530847,MCC,2025-01-24 09:17:58,69851429
Gitte Steinberg,DE,,miroslawa61@example.org,+4980274961,MCC,2025-04-30 19:07:26,
Catherine Kensy,DE,FB25030712_VM1O6pbpZ3xpWadc,Bendersahin@example.net,8414377772,MCC,2025-03-14 11:24:49,
Christiana Seidel,DE,,Doerschnermonica@example.com,+6864237642,MCC,2025-04-11 08:46:56,
Patric Roht,DE,,cpham@example.com,72209328,MCC,2025-05-31 09:17:32,biggenasta@example.org
Odeline Grete Søndergaard,DK,,jakobsenlouise@example.org,+4585562109,MCC,2025-03-08 17:07:14,
John Wilson,DE,,taguirre@example.com,+5001539173,MCC,2025-04-03 14:56:26,
Einar Koch,DK,,jenniferwhite@example.org,+4585198506,MCC,2025-03-13 14:56:10,nikolai78@example.org
Steven Birger Berg,DK,,jonrasmussen@example.org,+4532349205,TELE,2025-04-14 05:24:24,"+4545585510, jonrasmussen@example.org"
Poul Morten Friis,DK,,samuelmiller@example.net,49968774,MCC,2024-12-13 07:06:04,"49968774, leifolesen@example.org"
Käthe Mende,DE,,haleywilliamson@example.com,+496149812479,MCC,2025-03-11 18:11:04,Hessfriedl@example.com
Laura Zelma Karlsen,DK,,laurits94@examplecom,85142903,MCC,2025-04-01 20:49:04,
Pernille Winther,DK,,kabbott@example.com,+4516494215,MCC,2025-03-13 07:01:38,
Alex Laursen,DK,,ydaovergaard@example.net,+4556617608,MCC,2025-01-23 22:14:12,
Jan Østergaard,DK,,Gertlauritsen@example.net,+4500649749,MCC,2025-04-07 19:16:23,
Alfredo Rena Cichorius,DE,,jacquelinesingleton@example.org,+495856050221,TELE,2025-03-31 20:34:36,Hadolph@example.net
Jonas Kramer,DE,,guiseppe32@example.org,86695248,TELE,2024-12-08 06:27:52,
Friedbert Trapp,DE,FB25030906_BCSwMiJwx0SWlw5M,hasangertz@example.com,+4908557087,MCC,2025-06-02 05:53:54,
Karlo Lee Bruun,DK,,laura50@example.org,+4594198911,TELE,2025-03-17 10:54:28,stina92@example.org
Camilla Kjær,DK,FB25011610_c54QrKEHSIhOBgyY,qsmith@example.net,+4595038810,TELE,2025-05-05 09:06:56,Ove36@example.org
Johnnie Hermansen,DK,,ove85@example.com,+4586740709,MCC,2025-02-09 22:01:37,
Paul Karen Thorsen,DK,,villadsschmidt@example.net,15214606,TELE,2025-03-24 19:16:26,
S. Nielsen,DK,,oscar02@example.org,+4562122049,MCC,2025-02-12 11:40:53,
Ingeburg Döhn,DE,,upruschke@example.org,(+49)2153614321,TELE,2025-04-05 09:58:21,(+49)2153614321
simon agnieszka kruschwitz,DE,,marliesehellwig@example.com,+497142301460,MCC,2025-03-17 22:33:38,
Dina Bach,DK,,nataliediaz@example.net,54121814,MCC,2025-04-20 08:25:31,Kim28@example.net
Stephan Schweitzzer,DE,,jose42@example.com,+497740753019,MCC,2025-06-06 07:34:16,trosenow@example.net
Thorben Nooack,DE,,zschinke@example.com,3202352497,TELE,2025-03-03 07:43:01,
Sarah Jones,DK,,Mia70@example.com,49472316,TELE,2024-10-17 10:40:16,+4565728526
Mark Jones,DE,,marc78@example.org,9642242092,TELE,2025-06-19 08:51:05,
G. Stadelmann,DE,,antoninakaul@example.com,+492239205062,MCC,2025-04-27 19:01:44,
Rune Marie Vestergaard,DK,,kandreasen@example...net,+4509605198,TELE,2025-02-04 09:42:20,kandreasen@example.net
James Danielsen,DK,,Wintherisabella@example.net,+4560781902,MCC,2025-01-26 06:25:41,
S. Huhn,DE,FB25031823_urJDCiDIM3LPAxju,jessica52@example.org,+495161854040,TELE,2025-07-02 22:15:48,
Silje Richard Danielsen,DK,,lindrita@example.org,+4586211137,MCC,2025-02-16 11:37:01,lindrita@example.org
John Wilson,DK,FB25012017_oacx49awsJiY8k9e,mikkelseninge@example.com,"63016831, +4514574825",MCC,2025-02-08 16:51:25,
Antonio Kati Hahn,DE,,hellmuthpaffrath@examplecom,+495752939445,MCC,2025-05-06 03:38:37,
N. Juncken,DE,FB25030108_MM7m9s0YS7pFX56R,newtonmichael@example.net,+49(+49)2353044973,TELE,2025-04-23 07:06:49,heinrichandrei@example.com
Mark Jones,DK,,candreasen@example.com,+4526331763,MCC,2025-04-22 12:28:20,
riza cetin schmidt,DE,FB25012014_k1GDK5dtIW7B9qhg,tamarabaum@example.com,+497569359513,MCC,2025-04-06 13:03:03,
Josefine Rikke Gregersen,DK,,harpermolly@example.net,+4547343712,MCC,2025-03-01 13:51:36,+4547343712
Emma Wilson,DE,,ashleyblanchard@example.org,(+49)6699047635,MCC,2024-11-10 00:40:12,
Arne Steffensen,DK,FB25030621_3jNb9aYwyFYNUpdm,poulsenjan@example.com,+4590772833,TELE,2025-04-11 20:15:06,+4590772833
Maya Nilsson,DK,,frandsenclaus@example.com,09544590,MCC,2025-03-24 16:05:36,
Hanni Täsche,DE,,clarissakambs@example.org,+4968661287,MCC,2025-04-17 18:54:45,
Isabella Winnie Christoffersen,DK,,laustlaursen@example...org,+4593925292,TELE,2025-04-17 15:51:21,+4593925292
Mark Smith,DE,,jonathan79@example.org,37804957,MCC,2025-01-21 22:18:45,
Jochem Mentzel,DE,,heinz-peterritter@example.net,9446245026,TELE,2025-06-26 13:59:21,
Clara Jano Møller,DK,,jfrandsen@examplenet,+61714999,MCC,2025-05-21 22:57:50,
F. Ziegert,DE,FB25021109_F0g9eQ0UuEwq709O,jaehnheinz-willi@example.net,+4560786679,MCC,2025-02-20 08:46:56,jaehnheinz-willi@example.net
Freddy Maya Jeensen,DK,,breyes@example.com,84865892,MCC,2024-12-18 20:48:36,
Emma Smith,DK,,lewisjeremy@example.com,77939507,MCC,2025-04-18 20:41:47,maiken96@example.net
Sarah Jones,DK,,lholst@example.net,+07452544,MCC,2025-04-15 12:52:55,
D. Jørgensen,DK,,ehenry@example.net,18270763,MCC,2025-03-27 18:55:48,
bettina trubin,DE,FB25030111_Q6ESUOCVT87LfJhH,azizschleich@example.net,+496028614973,MCC,2025-04-06 10:58:14,
Willfried Butte,DE,,ashley96@example.com,+499898885650,TELE,2025-03-14 14:21:15,dlinke@example.com
Tommy Mathiesen,DK,,ulfschultz@example.org,+4595302996,MCC,2024-12-15 06:02:45,+4562377761
Claudio Höfig,DE,FB25030618_ud1hQJEIJyeRlH9S,egonkobelt@example.net,+492865491960,MCC,2025-06-21 17:42:34,egonkobelt@example.net
O. Nørgaard,DK,,xvestergaard@example.org,86216912,MCC,2025-03-03 17:26:40,
Rikke Poulsen,DK,,oliviajohnsen@example.org,08690935,MCC,2025-03-14 12:04:45,
James Flemming Olesen,DK,,lskov@example.com,+4573595961,MCC,2025-02-02 22:29:00,
Ira Heydrich,DE,,Fjohann@example.org,2041105864,MCC,2025-05-15 07:26:05,
Dimitrios Jacob,DE,,juergen43@example.net,+1917115962,TELE,2025-04-29 18:54:45,
